word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,tense,plural,detail,audio,audio_uk,audio_us
linguistic model,,,[电] 语言模型,,,,,,,,,,,,
linguistic notations,,,"[计] 语言符号, 语言表示法",,,,,,,,,,,,
linguistic organizer,,,[计] 语言组织器,,,,,,,,,,,,
linguistic support,,,[计] 语言支持,,,,,,,,,,,,
linguistic tool,,,[计] 语言工具,,,,,,,,,,,,
linguistical,liŋ'^wistikәl,,"[计] 语言的, 语言学的",,,,,,,,,,,,
linguistically,liŋ'gwistikəli,r. with respect to the science of linguistics\nr. with respect to language,adv. 语言学方面,,,,,21470,18913,,,,,,
linguistician,",liŋ^wis'tiʃәn",,"n. 语言学家, 通晓外国语言的人",,,,,,,,,,,,
linguistics,liŋ'gwistiks,n. the scientific study of language\nn. the humanistic study of language and literature,n. 语言学,,1,,toefl ielts,6813,13760,,,,,,
lingulate,'liŋgjuleit,s. shaped like a tongue,a. 舌状的\n[医] 舌状的,,,,,,,,,,,,
linh,,,n. (Linh)人名；(老)灵,,,,,,,,,,,,
linht-ray,,,[电] 光射线,,,,,,,,,,,,
liniment,'linimәnt,n. a medicinal liquid that is rubbed into the skin to relieve muscular stiffness and pain,n. 涂敷药\n[化] 搽剂,,,,,49130,31811,,,,,,
lining,'lainiŋ,n. a protective covering that protects an inside surface\nn. providing something with a surface of a different material\nn. the act of attaching an inside lining (to a garment or curtain etc.),"n. 衬里, 内层, 衬垫\n[化] 衬里; 衬垫; 衬套; 衬层",,2,,cet6,7665,8264,,,,,,
lining campaign,,,[机] 炉衬用期,,,,,,,,,,,,
lining of paraffin,,,[机] 石蜡衬里,,,,,,,,,,,,
lining tile,,,[机] 衬瓦,,,,,,,,,,,,
link,liŋk,n. the means of connection between things linked in series\nn. a fastener that serves to join or connect\nn. a unit of length equal to 1/100 of a chain\nn. (computing) an instruction that connects one part of a program or an element on a list to another program or list,"n. 环, 连结物, 链接, 火把\nvt. 连结, 联合, 挽住\nvi. 连接起来\n[计] 连接, 链路",,4,1,gk cet4 cet6 ky ielts,1276,1558,,,,,,
link access attribute,,,[计] 连接访问属性,,,,,,,,,,,,
Link Access Procedure,,,[计] 链接访问程序,,,,,,,,,,,,
Link Access Procedure-Balanced,,,[计] 对式链接访问程序,,,,,,,,,,,,
link address,,,[计] 连接地址,,,,,,,,,,,,
link allocater,,,"[计] 线路分配器, 链式分配器",,,,,,,,,,,,
link availability,,,[计] 链路可用率,,,,,,,,,,,,
link belt,,,[机] 链带,,,,,,,,,,,,
link bit,,,[计] 连接位,,,,,,,,,,,,
link block,,,[计] 连接分程序,,,,,,,,,,,,
link capacity,,,[计] 链路容量,,,,,,,,,,,,
link chain,,,[机] 链环,,,,,,,,,,,,
link circuit,,,"[计] 连接电路, 键式电路",,,,,,,,,,,,
link connection,,,[计] 链路连接,,,,,,,,,,,,
link control,,,[计] 链路控制,,,,,,,,,,,,
link control message,,,[计] 链路控制信息,,,,,,,,,,,,
link control module,,,[计] 连接控制模块,,,,,,,,,,,,
link control program,,,[计] 连接控制程序,,,,,,,,,,,,
Link Control Protocol,,,[计] 建立设定以及测试连线,,,,,,,,,,,,
link control software,,,[计] 链路控制软件,,,,,,,,,,,,
link controller,,,"[计] 无线电通信线路控制器, 链路控制器",,,,,,,,,,,,
link conveyor,,,[机] 链带式输送机,,,,,,,,,,,,
link coupling,,,[电] 链耦,,,,,,,,,,,,
link cryptographic equipment,,,[计] 链路密码设备,,,,,,,,,,,,
link cut set,,,[计] 链路割集,,,,,,,,,,,,
link edition,,,[计] 连接编辑程序,,,,,,,,,,,,
link encryption,,,[计] 链路加密,,,,,,,,,,,,
link exchange,,,[计] 链路交换,,,,,,,,,,,,
link failure,,,"[计] 链路失效, 链路故障",,,,,,,,,,,,
link field,,,链接域\n[计] 链接域,,,,,,,,,,,,
link file,,,[电] 联结文件,,,,,,,,,,,,
link frame,,,[计] 连接帧,,,,,,,,,,,,
link fuse,,,[电] 链熔线,,,,,,,,,,,,
link group,,,[计] 连接组,,,,,,,,,,,,
link header,,,"[计] 链路头, 链路标题",,,,,,,,,,,,
link indicator,,,[计] 连接指示器,,,,,,,,,,,,
link item,,,[计] 连接项,,,,,,,,,,,,
link level,,,[计] 链接级别,,,,,,,,,,,,
link library,,,[计] 连接程序库,,,,,,,,,,,,
link loader,,,[计] 连接装入程序,,,,,,,,,,,,
link loader program,,,[计] 连接装入程序的程序,,,,,,,,,,,,
link macro-instruction,,,[计] 连接宏指令,,,,,,,,,,,,
link management,,,[计] 链路管理,,,,,,,,,,,,
link map,,,[计] 连接图,,,,,,,,,,,,
link module,,,[计] 连接模块,,,,,,,,,,,,
link motion,,,"[机] 连杆运动, 连杆装置",,,,,,,,,,,,
link multiplixing,,,[计] 链路多路转接,,,,,,,,,,,,
link neutraliztion,,,[电] 链中和化,,,,,,,,,,,,
link number,,,[电] 联结号码,,,,,,,,,,,,
link of cotree,,,[计] 副树链支,,,,,,,,,,,,
link order,,,"[计] 连接指令, 返回指令",,,,,,,,,,,,
link overfolw,,,[计] 连接溢出,,,,,,,,,,,,
link pack area,,,[计] 连接装配存储区,,,,,,,,,,,,
link pack area library,,,[计] 连接装配区库,,,,,,,,,,,,
link pack area queue,,,[计] 连接装配区队列,,,,,,,,,,,,
link polygon,,,"[机] 索多边形, 连杆多边形",,,,,,,,,,,,
link program,,,[计] 连接程序,,,,,,,,,,,,
link protocol,,,[计] 链路协议,,,,,,,,,,,,
link protocol data unit,,,[计] 链路协议数据单位,,,,,,,,,,,,
link register,,,[计] 连接寄存器,,,,,,,,,,,,
link response,,,[计] 链路响应,,,,,,,,,,,,
link scheduler,,,[计] 链路调度程序,,,,,,,,,,,,
link sort,,,[计] 连接分类,,,,,,,,,,,,
link station,,,[计] 链路站,,,,,,,,,,,,
link status slot,,,[计] 链路状态时隙,,,,,,,,,,,,
link subroutines,,,[计] 连接子程序,,,,,,,,,,,,
link switch equipment,,,"[计] 链路转换设备, 网络转换设备",,,,,,,,,,,,
link test,,,[计] 链路测试,,,,,,,,,,,,
link to file,,,链接到文件\n[计] 链接到文件,,,,,,,,,,,,
link together,,,[机] 连接,,,,,,,,,,,,
link trailer,,,[计] 链路尾,,,,,,,,,,,,
link transmitter,,,[电] 中继发射器,,,,,,,,,,,,
link type,,,链接类型\n[计] 链接类型,,,,,,,,,,,,
link variable,,,[计] 连接变量,,,,,,,,,,,,
link word,,,[计] 连接字,,,,,,,,,,,,
link work,,,[机] 连杆组,,,,,,,,,,,,
link-attached,,,[计] 链路连接的,,,,,,,,,,,,
link-attached network control program,,,[计] 链路连接的网络控制程序,,,,,,,,,,,,
link-attached terminal,,,[计] 链路连接的终端,,,,,,,,,,,,
link-level protocol,,,[计] 链路级协议,,,,,,,,,,,,
link-state routing algorithm,,,[计] 连接状态路由选择算法,,,,,,,,,,,,
link-support layer,,,[计] 链路支持层,,,,,,,,,,,,
linkage,'liŋkidʒ,n. an associative relation\nn. (genetics) traits that tend to be inherited together as a consequence of an association between their genes; all of the genes of a given chromosome are linked (where one goes they all go)\nn. a mechanical system of rods or springs or pivots that transmits power or motion\nn. the act of linking things together,"n. 联合, 连锁, 结合, 联动\n[计] 连接",,1,,,8980,6717,,,,,,
linkage area,,,[计] 连接区,,,,,,,,,,,,
linkage computer,,,[计] 联动计算机,,,,,,,,,,,,
linkage control table,,,[计] 连接指令控制表,,,,,,,,,,,,
linkage convention,,,[计] 连接约定,,,,,,,,,,,,
linkage counter,,,[计] 连接计数器,,,,,,,,,,,,
linkage editing,,,[计] d连接编辑,,,,,,,,,,,,
linkage editor,,,[计] 连接编辑程序,,,,,,,,,,,,
linkage editor program,,,[计] 连接编辑程序,,,,,,,,,,,,
linkage fault,,,[计] 连接故障,,,,,,,,,,,,
linkage flag,,,[计] 连接标记,,,,,,,,,,,,
linkage information,,,[计] 连接信息,,,,,,,,,,,,
linkage instruction,,,[计] 连接指令,,,,,,,,,,,,
linkage loader,,,[计] 连接装配程序,,,,,,,,,,,,
linkage macros,,,[计] 连接宏指令,,,,,,,,,,,,
linkage multiplier,,,[计] 联动乘法器,,,,,,,,,,,,
linkage name,,,[计] 连接名,,,,,,,,,,,,
linkage record,,,[计] 连接记录,,,,,,,,,,,,
linkage register,,,[计] 连接寄存器,,,,,,,,,,,,
linkage section,,,[计] 连接节,,,,,,,,,,,,
linkage segment,,,[计] 连接段,,,,,,,,,,,,
linkattribute,,,[计] 链路属性,,,,,,,,,,,,
linked,liŋkt,,adj. 连接的；显示连环遗传的；联合的,,,,,9517,11472,,,,,,
linked allocation,,,[计] 连接分配,,,,,,,,,,,,
linked data structure,,,[计] 链式数据结构,,,,,,,,,,,,
linked edit,,,[计] 连接编辑,,,,,,,,,,,,
linked enzyme assay,,,[建] 连接酶分析法,,,,,,,,,,,,
linked file,,,[计] 连接文件,,,,,,,,,,,,
linked list,,,[计] 链表,,,,,,,,,,,,
linked list type,,,[计] 连接表类型,,,,,,,,,,,,
linked network,,,[计] 交连网络,,,,,,,,,,,,
linked object,,,链接对象\n[计] 链接对象,,,,,,,,,,,,
linked subroutine,,,[计] 闭型子程序,,,,,,,,,,,,
linked to source,,,[计] 链接到源,,,,,,,,,,,,
linked-list language,,,[计] 连接表语言,,,,,,,,,,,,
linker,'liŋkә,,"[计] 连接程序, 链接程序",,,,,30100,,,,,,,
linker failure,,,[计] 链路失效,,,,,,,,,,,,
linker function,,,[计] 连接程序功能,,,,,,,,,,,,
linkers,,,n. 链接器；滨海球场；联系者（linker的复数）,,,,,,,,,,,,
linking,'liŋkiŋ,,"[计] 连接, 链接",,,,,15004,21232,,,,,,
linking automation,,,[计] 链接自动化,,,,,,,,,,,,
linking edge,,,[计] 连接边缘,,,,,,,,,,,,
linking format,,,[计] 连接格式,,,,,,,,,,,,
linking loader,,,[计] 连接装配程序,,,,,,,,,,,,
linking object module,,,[计] 连接目标模块,,,,,,,,,,,,
linking section,,,[计] 连接区,,,,,,,,,,,,
linkman,'liŋkmәn,,"n. 中间人, 掮客",,,,,,,,,,,,
links,liŋks,n. a golf course that is built on sandy ground near a shore,n. 高尔夫球场,,,,,40604,,,,,,,
linksman,'liŋksmәn,,n. 打高尔夫球的人,,,,,,,,,,,,
linksys,,,n. 连系；路由器；Cisco公司在家用及soho市场的数据通信设备品牌,,,,,,,,,,,,
linkup,'liŋkʌp,,"n. 结合, 连结, 联合",,,,,,,,,,,,
linkwork,'liŋkwә:k,,"n. 以环扣连结之物, 联动装置",,,,,,,,,,,,
Linlithgow,'lin'liθɡəu,,n. 林利斯戈（苏格兰地名）,,,,,27825,,,,,,,
linn,lin,,"n. 瀑布, 溪谷, 崖",,,,,,,,,,,,
Linnaean,li'ni:ən,a. of or relating to Linnaeus or to the system of taxonomic classification that Linnaeus proposed,adj. 林奈的（瑞典博物学家）；林奈式动植物分类法的,,,,,,33349,,,,,,
Linnaeus,li'ni(:)әs,n. Swedish botanist who proposed the modern system of biological nomenclature (1707-1778),"林奈(①姓氏 ②Carolus, 1707-1778, 瑞典博物学家, 瑞典原名为 Karl von LinnМ)",,,,,30334,,,,,,,
linnea,,,n. (Linnea)人名；(瑞典)林内亚,,,,,,,,,,,,
linnet,'linit,n. small Old World finch whose male has a red breast and forehead,n. 朱顶雀,,,,,36742,,,,,,,
lino,'lainәu,,n. 油地毡,,,,,20627,,,,,,,
linocut,"'lainә,kʌt",n. a print that is made from a design carved in relief into a block of linoleum\nn. a design carved in relief into a block of linoleum,[刷]油毡浮雕的印刷图样，亚麻油毡浮雕版,,,,,,38487,,,,,,
linoleic acid series,,,[机] 亚油酸系列,,,,,,,,,,,,
linolenyl alcohol,,,[机] 亚麻仁醇,,,,,,,,,,,,
linoleum,li'nәuliәm,n. a floor covering,"n. 油地毡, 漆布\n[化] 油毡; 亚麻油毡",,,,,22273,11646,,,,,,
linoleum tape,,,[电] 蜡带,,,,,,,,,,,,
linotape,"'linә,teip",,[电] 黄料,,,,,,,,,,,,
linotype,'lainәutaip,n. a typesetting machine operated from a keyboard that casts an entire line as a single slug of metal,n. 整行铸造排字机\nvi. 以整行排字机排字\nvt. 以整行排字机排,,,,,48129,,,,,,,
lins,,,abbr. 轻型惯性导航系统（Lightweight Inertial Navigation System）,,,,,,,,,,,,
linsang,'linsæŋ,,n. 林狸,,,,,,,,,,,,
linseed,'linsi:d,n. the seed of flax used as a source of oil,n. 亚麻籽\n[医] 亚麻子,,,,,25437,22559,,,,,,
linseed cake,,,[机] 亚麻子饼,,,,,,,,,,,,
linseed meal,,,[机] 亚麻子饼粉,,,,,,,,,,,,
linseed mucilage,,,[机] 亚麻子粘质,,,,,,,,,,,,
linseed oil soap,,,[机] 亚麻子油皂,,,,,,,,,,,,
linseed oil varnish,,,[机] 亚麻子油漆,,,,,,,,,,,,
linseed substitute,,,[机] 亚麻子油代用品,,,,,,,,,,,,
linseys,'linzis,,[机] 半毛破布,,,,,,,,,,,,
linstock,'linstɒk,n. a stick about a meter long with a point on one end (to stick in the ground) and a forked head on the other end (to hold a lighted match); formerly used to fire cannons,n. 火绳杆,,,,,,,,,,,,
lint,lint,n. fine ravellings of cotton or linen fibers\nn. cotton or linen fabric with the nap raised on one side; used to dress wounds,"n. 绷带用麻布, 皮棉\n[医] 绒布(外科用布)",,,,,36247,19346,,,,,,
lint doctor,,,[机] 棉绒刮刀,,,,,,,,,,,,
lint relaxation method,,,"[计] 行松弛法, 线松弛法",,,,,,,,,,,,
lintel,'lintәl,,n. 过梁,,,,,20039,22834,,,,,,
lintensity of light,,,[电] 光度,,,,,,,,,,,,
linter,'lintә,,"n. 剥绒机, 棉籽绒\n[机] 棉绒除去器",,,,,,,,,,,,
Linton,,,林顿,,,,,17119,,,,,,,
linum usitatissimum,,,[机] 亚麻,,,,,,,,,,,,
linus,'lainәs,,n. 莱纳斯,,,,,,,,,,,,
linusic acid,,,"[建] 林奴斯酸, 六羟基硬酯酸",,,,,,,,,,,,
linux,,n. an open-source version of the UNIX operating system,n. 一个个人电脑上免费的UNIX操作系统,,,,,,,,,,,,
liny,'laini,,"a. 划线的, 多线的, 多纹的, 似线的",,,,,,,,,,,,
Linz,lints,n. city in northern Austria on the Danube; noted as a cultural center,林茨[奥地利北部城市],,,,,43395,,,,,,,
lion,'laiәn,n. large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male\nn. a celebrity who is lionized (much sought after),"n. 狮子, 狮子(星)座, 国际狮子会会员",,2,,zk gk cet4 cet6 ky,3396,3778,,,,,,
lion's mouth,,,虎穴,,,,,,,,,,,,
lion's share,,,最大的份额,,1,,,,,,,,,,
lion-hunter,"'laiәn,hʌntә(r)",n. someone who tries to attract social lions as guests\nn. someone who hunts lions,"n. 猎狮者, 巴结名流的人",,,,,,,,,,,,
lionel,'laiәnl,,n. 莱昂内尔（男子名）,,,,,12487,,,,,,,
lioness,'laiәnis,n. a female lion,n. 雌狮,,,,,27501,22476,,,,,,
lionet,'laiәnit,n. a small or young lion,n. 小狮子,,,,,,,,,,,,
lionfish,"'laiәn,fiʃ",n. brightly striped fish of the tropical Pacific having elongated spiny fins,n.[鱼]蓑鲉,,,,,,27876,,,,,,
lionheart,,,n. 勇士,,,,,,,,,,,,
lionhearted,'laiәn'hɑ:tid,s. extraordinarily courageous,"a. 勇猛的, 豪胆的",,,,,,,,,,,,
lionhood,'laiәnhjd,,n. 社会名流的地位,,,,,,,,,,,,
lionism,'laiәnizm,,n. 捧社会名流,,,,,,,,,,,,
lionize,'laiәnaiz,v. assign great social importance to,"vt. 将...以名人待之, 游览...的名胜\nvi. 结交名流",,,,,,25931,,,,,,
lionlike,'laiәnlaik,,a. 狮子般的,,,,,,,,,,,,
lions,,,n. 腰角；雄狮；狮子（lion的复数）,,,,ielts,,,,,,,,
lionship,'laiәnʃip,,n. 社会名流的地位,,,,,,,,,,,,
lior,,,n. (Lior)人名；(以)利奥尔,,,,,,,,,,,,
lip,lip,n. either of two fleshy folds of tissue that surround the mouth and play a role in speaking\nn. (botany) either of the two parts of a bilabiate corolla or calyx\nn. either the outer margin or the inner margin of the aperture of a gastropod's shell,"n. 唇, 口缘, 唇状构造\nvt. 以嘴唇碰, 轻轻说出\na. 口头上的\n[计] 大型互连网信息包",,3,1,gk cet4 cet6 ky toefl,1451,1424,,,,,,
lip angle,,,[机] 钻刃角,,,,,,,,,,,,
lip clearance angle,,,[机] 钻刃余隙角,,,,,,,,,,,,
lip language,,,唇语,,,,,,,,,,,,
lip microphone,,,[电] 唇微音器,,,,,,,,,,,,
lip relief angle,,,[机] 钻刃离隙角,,,,,,,,,,,,
lip service,,,口惠,,1,,,,,,,,,,
lip-deep,'lipdi:p,,"a. 表面上的, 仅仅口头的",,,,,,,,,,,,
lip-language,"'lip,læŋ^widʒ",,n. 唇语,,,,,,,,,,,,
lip-read,,,"vt. 视话, 唇读\nvi. 用唇读方法",,,,,,,,,,,,
lip-reader,,,n. 视话者,,,,,,,,,,,,
lip-syne,,,vt.vi. 对口型,,,,,,,,,,,,
liparite,"'lipә,rait",,[机] 流纹岩,,,,,,,,,,,,
lipase,'laipeis,n. an enzyme secreted in the digestive tract that catalyzes the breakdown of fats into individual fatty acids that can be absorbed into the bloodstream,n. 脂肪酶\n[化] 脂肪酶,,,,,,,,,,,,
lipid,"'lipid, 'laipid",n. an oily organic compound insoluble in water but soluble in organic solvents; essential structural component of living cells (along with proteins and carbohydrates),"n. 脂类, 类脂物, 脂质\n[化] 类脂; 脂质; 脂类",,,,toefl,13526,19711,,,,,,
lipidel,,,[机] 脂醇,,,,,,,,,,,,
lipitor,,,n. 立普妥（药品名）,,,,,,,,,,,,
lipless,'liplis,a. without a lip or lips,"a. 没有嘴唇的, (器皿)没有嘴的",,,,,,32753,,,,,,
Lipman,,,n. (Lipman)人名；(英、法、葡)李普曼\n李普曼,,,,,27559,,,,,,,
lipography,li'pɒgrәfi,,n. 字母的脱漏,,,,,,,,,,,,
lipoid,'lipɒid,,n. 类脂\na. 类脂的,,,,,,,,,,,,
lipoma,li'pәumә,n. a tumor consisting of fatty tissue,n. 脂肪瘤\n[医] 脂[肪]瘤,,,,,,,,,,,,
lipophilic,.lipәu'filik,s. having an affinity for lipids,a. 亲脂性的\n[化] 亲油的; 亲脂的,,,,,,40564,,,,,,
lipoprotein,.lipә'prәuti:n,n. a conjugated protein having a lipid component; the principal means for transporting lipids in the blood,n. 脂蛋白\n[化] 脂蛋白,,,,,29762,23921,,,,,,
liposome,"'lipәjsәjm,'lai-",n. an artificially made microscopic vesicle into which nucleic acids can be packaged; used in molecular biology as a transducing vector,[化] 脂质体\n[医] 微脂粒,,,,,47157,,,,,,,
liposuction,ˈlɪpəʊsʌkʃn,n. lipectomy (especially for cosmetic purposes) in which excess fatty tissue is removed from under the skin by suction, 脂肪抽吸[术],,,,,,18175,,,,,,
lipotropic,.lipәu'trɒpik,,"a. 抗脂肪肝的\n[医] 亲脂肪的, 促脂肪的, 防治脂肪肝的",,,,,,,,,,,,
lipotropic factor,,,[机] 抗脂肝因素,,,,,,,,,,,,
lipped,lipt,a. having a lip or lips,"a. 有嘴的, 长着嘴唇的",,,,,,39537,,,,,,
lippen,'lipәn,,"vi. 相信, 依靠\nvt. 把...托付给",,,,,,,,,,,,
lipper,'lipә,,"n.涟漪, 浪花",,,,,,,,,,,,
lipping,'lipiŋ,,"n. 唇形\n[医] 唇状突出, 唇状[X线]阴影",,,,,,,,,,,,
lippy,'lipi,,"a. 爱顶嘴的, 无礼的",,,,,48370,,,,,,,
lipreading,'lipri:diŋ,n. perceiving what a person is saying by observing the movements of the lips,"n. 读唇术, 视话",,,,,,,,,,,,
lips,lips,,n. 嘴唇（lip的复数）,,,,,,,,,,,,
lipsalve,'lipsælv,,"n. 护唇油膏, 谀词",,,,,,,,,,,,
lipschitz,,,n. (Lipschitz)人名；(德、匈、罗)利普席茨,,,,,,,,,,,,
Lipschitz condition,,,[计] 利普希茨条件,,,,,,,,,,,,
Lipschitz constant,,,[计] 利普希茨常数,,,,,,,,,,,,
lipstick,'lipstik,n. makeup that is used to color the lips\nv. form by tracing with lipstick\nv. apply lipstick to,"n. 口红, 唇膏\n[机] 口红",,2,,cet6,10586,6457,,,,,,
lipstick mould,,,[机] 口红模,,,,,,,,,,,,
lipstick moulding machine,,,[机] 口红模制机,,,,,,,,,,,,
lipsticked,'lɪpstɪk,,n. 口红；唇膏\nvt. 涂口红\nvi. 涂口红,,,,,43003,35607,,,,,,
lipton,'liptәn,,n. 李普顿（姓氏）；立顿公司（英国公司名，出品茶饮料等）,,,,,26396,,,,,,,
liquate,'laikweit,,"vt. 熔析, 熔解\n[医] 液化",,,,,,,,,,,,
liquation furnace,,,[机] 熔化炉,,,,,,,,,,,,
liquefacient,.likwi'feiʃәnt,,n. 液化剂\na. 液化的,,,,,,,,,,,,
liquefaclent,,,"[机] 冲淡的; 熔解物, 解凝剂",,,,,,,,,,,,
liquefaction,.likwi'fækʃәn,n. the conversion of a solid or a gas into a liquid,"n. 液化, 溶解, 液化作用\n[化] 液化; 液化作用",,,,,,32702,,,,,,
liquefaction ratio,,,[机] 液化比率,,,,,,,,,,,,
liquefied,'lɪkwɪfaɪd,s. reduced to a liquid state,adj. 液化的\nv. 液化，溶解( liquefy的过去式和过去分词 ),,,,,41934,24169,,,,,,
liquefied bituminous material,,,[机] 液态沥青,,,,,,,,,,,,
liquefied butane,,,[机] 液态丁烷,,,,,,,,,,,,
liquefied petrolatum,,,[机] 液体石蜡油,,,,,,,,,,,,
liquefied petroleum gas,,,[机] 液化石油气,,,,,,,,,,,,
liquefied petroleum gas conversion,,,[机] 汽油机换用液化石油气体,,,,,,,,,,,,
liquefied petroleum gas inspirator,,,[机] 液化石油气体喷射器,,,,,,,,,,,,
liquefier,"'likwi,faiә",,n. 液化器\n[化] 液化器,,,,,,,,,,,,
liquefy,'likwifai,"v. become liquid\nv. make (a solid substance) liquid, as by heating\nv. become liquid or fluid when heated","vt. (使)溶解, (使)液化\nvi. (使)溶解, (使)液化",,,,,35682,21919,,,,,,
liquescence,'likwesns,,n. 液化,,,,,,,,,,,,
liquescency,li'kwesnsi,,[机] 液化性,,,,,,,,,,,,
liquescent,'likwesnt,s. becoming liquid,"a. 易液化的\n[医] 变液的, 液化的",,,,,,,,,,,,
liqueur,li'kjuә,n. strong highly flavored sweet liquor usually drunk after a meal,n. 利口酒\n[医] 香酒,,1,,,18664,15144,,,,,,
liquid,'likwid,n. a substance that is liquid at room temperature and pressure\nn. the state in which a substance exhibits a characteristic readiness to flow with little or no tendency to disperse and relatively high incompressibility\nn. fluid matter having no fixed shape but a fixed volume\nn. a frictionless continuant that is not a nasal consonant (especially `l' and `r'),"n. 液体, 流体, 流音\na. 液体的, 透明的, 明亮的, 流动的, 易变的",,2,1,gk cet4 cet6 ky toefl,4338,3825,,,,,,
liquid air container,,,[机] 液态空气容器,,,,,,,,,,,,
liquid application,,,[机] 液施,,,,,,,,,,,,
liquid asphalt,,,[机] 液态沥青,,,,,,,,,,,,
liquid asphaltic products,,,[机] 液态铺路沥青,,,,,,,,,,,,
liquid bitumen,,,[机] 液态沥青,,,,,,,,,,,,
liquid capacity,,,[机] 液体容量,,,,,,,,,,,,
liquid caustic,,,[机] 苛性碱液,,,,,,,,,,,,
liquid cement,,,"[机] 胶液, 液体掺碳剂",,,,,,,,,,,,
liquid charging stock,,,[机] 液体原料,,,,,,,,,,,,
liquid condenser,,,[电] 液体电容器,,,,,,,,,,,,
liquid contraction,,,[机] 液态收缩,,,,,,,,,,,,
liquid cooling,,,[计] 液体冷却,,,,,,,,,,,,
liquid core,,,[机] 余液,,,,,,,,,,,,
liquid cream,,,"[机] 液体乳酪, 硬脂酸膏",,,,,,,,,,,,
liquid crystal,,,[计] 液晶\n[化] 液晶,,,,,,,,,,,,
liquid crystal display,,,[计] 液晶显示器,,,,,,,,,,,,
liquid desiccant dehydration tank,,,[机] 用液体干燥剂的脱水槽,,,,,,,,,,,,
liquid detector,,,[电] 液体检波器,,,,,,,,,,,,
liquid dioxide,,,[机] 二氧化氮,,,,,,,,,,,,
liquid displacement,,,[机] 液体置换,,,,,,,,,,,,
liquid drop model nucleus,,,[电] 核的液滴标型,,,,,,,,,,,,
liquid electrolytic condenser,,,[电] 电解液电容器,,,,,,,,,,,,
liquid element,,,[机] 液体元素,,,,,,,,,,,,
liquid ethylene,,,[机] 液态乙烯,,,,,,,,,,,,
liquid filling machine,,,[机] 浇铸机,,,,,,,,,,,,
liquid filter,,,[机] 液体滤器,,,,,,,,,,,,
liquid fischer-tropsch hydrocarbons,,,[机] 费托液体烃,,,,,,,,,,,,
liquid flow meter,,,[机] 液体流速计,,,,,,,,,,,,
liquid friction,,,[机] 液体的摩擦,,,,,,,,,,,,
liquid fuse unit,,,[电] 液体熔线单元,,,,,,,,,,,,
liquid gas,,,[机] 液化的气体,,,,,,,,,,,,
liquid gas fuel,,,[机] 液化气体燃料,,,,,,,,,,,,
liquid grease,,,[机] 液体润滑脂,,,,,,,,,,,,
liquid gum,,,[机] 液态胶质,,,,,,,,,,,,
liquid header,,,[机] 液体收集器,,,,,,,,,,,,
liquid hold-up,,,"[机] 保留液体, 充塔液体",,,,,,,,,,,,
liquid honing,,,[机] 液体搪磨,,,,,,,,,,,,
liquid honing machine,,,[机] 液体搪磨机,,,,,,,,,,,,
liquid iron,,,[机] 铁水,,,,,,,,,,,,
liquid level,,,[机] 液面,,,,,,,,,,,,
liquid lubricant,,,[机] 液体润滑剂,,,,,,,,,,,,
liquid lubrication,,,[机] 液体润滑,,,,,,,,,,,,
liquid magnetic bubble,,,[计] 液态磁泡,,,,,,,,,,,,
liquid measure,,,[机] 液体测量,,,,,,,,,,,,
liquid medium,,,[机] 液体介质,,,,,,,,,,,,
liquid metal fuel,,,[机] 液体金属燃物,,,,,,,,,,,,
liquid mill,,,[机] 液体磨机,,,,,,,,,,,,
liquid nail polish,,,[机] 液体擦指甲剂,,,,,,,,,,,,
liquid packing,,,[机] 液体对闭,,,,,,,,,,,,
liquid petrolatum quality test,,,[机] 液体矿脂质量试验,,,,,,,,,,,,
liquid phase epitaxial method,,,[计] 液相外延法,,,,,,,,,,,,
liquid polymerization,,,[机] 液相聚合法,,,,,,,,,,,,
liquid pressure gauge,,,[机] 液体压力计,,,,,,,,,,,,
liquid purification process,,,[机] 液体精制法,,,,,,,,,,,,
liquid rheostat,,,[电] 液体变阻器,,,,,,,,,,,,
liquid rocket fuel,,,[机] 液体火箭燃料,,,,,,,,,,,,
liquid sealing,,,[机] 液体对闭,,,,,,,,,,,,
liquid semiconductor,,,[电] 易变半导体,,,,,,,,,,,,
liquid shrinkage,,,[机] 液态收缩,,,,,,,,,,,,
liquid siag producer,,,[机] 液态熔渣发生炉,,,,,,,,,,,,
liquid solution,,,[机] 液体溶液,,,,,,,,,,,,
liquid starter,,,[电] 液体起动器,,,,,,,,,,,,
liquid sulfur dioxide-benzene process,,,[建] 苯-液体二氧化硫法,,,,,,,,,,,,
liquid toilet soap,,,[机] 液体盥洗皂,,,,,,,,,,,,
liquid viscosimeter,,,[机] 液体粘度计,,,,,,,,,,,,
liquid-air temperature,,,[电] 液态空气温度,,,,,,,,,,,,
liquid-air trap,,,[电] 液态空气阱,,,,,,,,,,,,
liquid-crystal display,,,[计] 液晶显示,,,,,,,,,,,,
liquid-crystal memory,,,[计] 液晶存储器,,,,,,,,,,,,
liquid-filled capacitor,,,[电] 液体电容器,,,,,,,,,,,,
liquid-filled thermometer,,,[机] 液体温度计,,,,,,,,,,,,
liquid-film controlling,,,[机] 液膜控制,,,,,,,,,,,,
liquid-gas system,,,[机] 液-气系统,,,,,,,,,,,,
liquid-impregnated capacitor,,,[电] 液体注入电容器,,,,,,,,,,,,
