Let's try something.	我們試試看！
You look just like your big brother.	你和你哥哥长得一模一样。
Aren't you happy?	你不快樂嗎?
You have done very well.	你做得很好。
You're starting to warm up now.	现在你开始热起来了。
When did you come to Japan?	你何時來日本的?
When will you be free?	你什麼時候有空?
When did you begin studying English?	您什么时候开始学英语的？	你们什么时候开始学英语的？	你什么时候开始学英语的？
You are always as busy as a bee.	你總是跟蜜蜂一樣地忙碌。
You're always criticizing me!	你总是批评我！
You are always complaining.	你總是在抱怨。
What time do you usually get up?	你通常幾點起床？	你通常什麼時候起床？
What time do you usually go to bed?	你通常甚麼時候上床睡覺？
You are always watching TV.	你總是在看電視。
What on earth are you talking about?	你到底在談什麼?
How long have you been alienated from your family?	你离开家有多久了?
You have some books.	您有一些书。	你有一些书。
You've given me good advice.	你給了我很好的建議。
You must be tired after such a long trip.	在這麼長程的旅途後你一定很累了。
You shouldn't talk back to your parents like that.	你不應該對你父母那樣頂嘴。
You shouldn't have eaten so much ice cream.	你不應該吃這麼多冰淇淋。
Have you ever been to America?	你去過美國嗎？
I wish you had told me the truth then.	但願你那時候就告訴我真相。
Are you on the committee?	你是委員會中的成員嗎？
Do you know how high the television tower is?	你知道那座電視塔有多高嗎？
You have to leave home at six.	你必須在六點鐘時從家中出發。
You must be at the station by 5 o'clock.	五點以前你必須在車站。
You look the way your father did thirty years ago.	你看上去就像是三十年前你父親的樣子。
You must keep quiet for a few days.	你该安静几天。
You'll be able to drive a car in a few days.	幾天之後你就可以開車了。
You should have refused his offer.	你應該拒絕他的提議的。
You need to have breakfast.	你需要吃早饭。
Did you leave the window open?	你讓窗戶開著嗎?
Are you doing what you think is right?	你在做你覺得對的事嗎?
